Procedure,Lab,Mutual information,Relevant combinations,Relevance
Invasive Ventilation,pH,0.000613236,1041,x
Invasive Ventilation,"CO2 (ETCO2, PCO2, etc.)",0.002126169,910,x
Invasive Ventilation,Partial pressure of carbon dioxide,0.003600371,794,x
Invasive Ventilation,Bicarbonate,0.000715046,588,x
Invasive Ventilation,Lactate,0.00167004,548,x
Extubation,pH,0.004869228,536,x
Intubation,pH,0.001604679,491,x
Extubation,Bicarbonate,0.003811677,430,x
Extubation,"CO2 (ETCO2, PCO2, etc.)",0.001352318,421,x
Intubation,"CO2 (ETCO2, PCO2, etc.)",0.001778798,414,x
Extubation,Partial pressure of carbon dioxide,0.000335754,403,x
Intubation,Partial pressure of carbon dioxide,0.001519099,355,x
Dialysis - CRRT,pH,0.003508633,346,x
Dialysis - CRRT,Potassium,0.000766607,263,x
Bronchoscopy,pH,0.001047952,253,x
Intubation,Bicarbonate,0.002219922,244,x
Intubation,Lactate,0.019890682,235,x
Dialysis - CRRT,Bicarbonate,0.001869058,232,x
Non-invasive Ventilation,pH,0.001055337,229,x
Dialysis - CRRT,Creatinine,0.003371946,222,x
Dialysis - CRRT,Blood urea nitrogen,0.01909635,220,x
Dialysis Catheter,Creatinine,0,214,x
Dialysis Catheter,Blood urea nitrogen,0,212,x
Bronchoscopy,"CO2 (ETCO2, PCO2, etc.)",0.000524731,211,x
Bronchoscopy,Partial pressure of carbon dioxide,0.00905791,201,x
Non-invasive Ventilation,"CO2 (ETCO2, PCO2, etc.)",0.015124567,195,x
Dialysis Catheter,Potassium,0.011431506,183,x
Dialysis Catheter,Bicarbonate,0.008507471,183,x
Non-invasive Ventilation,Partial pressure of carbon dioxide,0.005285078,168,x
Dialysis Catheter,pH,0.00684346,164,x
Invasive Ventilation,Oxygen saturation,0.056077289,99,x
Non-invasive Ventilation,Bicarbonate,0.005033112,95,x
Extubation,Oxygen saturation,0.018766464,89,x
Non-invasive Ventilation,Lactate,0.000892308,88,x
Extubation,Lactate,0.026146975,86,x
Interventional Radiology,White blood cell count,0.006991671,83,x
Intubation,Oxygen saturation,0.054230085,48,x
Cardioversion/Defibrillation,pH,0.015140512,48,x
Percutaneous Tracheostomy,Bicarbonate,0.08167086,40,x
Cardioversion/Defibrillation,"CO2 (ETCO2, PCO2, etc.)",0.013084144,38,x
Cardioversion/Defibrillation,Partial pressure of carbon dioxide,0.019158495,37,x
Cardioversion/Defibrillation,Lactate,0.005776372,31,x
Percutaneous Tracheostomy,Partial pressure of carbon dioxide,0.067815713,30,x
Percutaneous Tracheostomy,pH,0.039677378,30,x
Cardioversion/Defibrillation,Bicarbonate,0.01578589,30,x
Percutaneous Tracheostomy,"CO2 (ETCO2, PCO2, etc.)",0.053566358,26,x
Unplanned Extubation (patient-initiated),"CO2 (ETCO2, PCO2, etc.)",0.059044469,24,x
Unplanned Extubation (patient-initiated),pH,0,24,x
Unplanned Extubation (patient-initiated),Partial pressure of carbon dioxide,0.146350894,23,x
Unplanned Extubation (patient-initiated),Bicarbonate,0.086062128,23,x
Thoracentesis,Bicarbonate,0.037643656,20,x
Non-invasive Ventilation,Oxygen saturation,0.027826705,20,x
Thoracentesis,pH,0.033957503,18,x
Thoracentesis,"CO2 (ETCO2, PCO2, etc.)",0.11835021,12,x
